artist, popularity
massive attack,69.0
krallice,21.0
uranium club,25.0
kleenex,29.0
liliput,29.0
taso,37.0
various artists,7.0
little simz,70.0
yotam avni,31.0
brian eno,61.0
the lox,52.0
harry bertoia,1.0
run the jewels,61.0
steven warwick,1.0
yasiin bey,49.0
smoke dza,47.0
pete rock,53.0
senyawa,25.0
chance the rapper,75.0
jeremih,75.0
jamire williams,10.0
the-dream,66.0
worm ouroboros,3.0
nine inch nails,68.0
elder ones,2.0
the microphones,48.0
ben frost,31.0
kacey musgraves,75.0
jay som,43.0
rashad becker,4.0
ray charles,68.0
ab-soul,61.0
pantera,72.0
gucci mane,77.0
mica levi,34.0
kid cudi,80.0
sammus,23.0
hodgy,51.0
jeff parker,39.0
a-trak,63.0
jess williamson,39.0
kevin abstract,53.0
adr,75.0
deadmau5,67.0
jessy lanza,35.0
peter broderick,44.0
qasim naqvi,16.0
post malone,89.0
bob dylan,78.0
ricardo villalobos,34.0
umho,84.0
peder mannerfelt,17.0
j. cole,86.0
pink floyd,81.0
flume,71.0
gaye su akyol,48.0
jeff buckley,71.0
saba,60.0
simian mobile disco,40.0
gas,53.0
kodie shane,45.0
the orchestra of syrian musicians,25.0
blessed initiative,0.0
neil young,69.0
soundgarden,70.0
nick hook,23.0
kjartan sveinsson,31.0
the rolling stones,79.0
lil uzi vert,85.0
young male,0.0
alex izenberg,19.0
childish gambino,81.0
fetty wap,77.0
miranda lambert,69.0
denitia and sene,19.0
john legend,76.0
yoko ono,54.0
john lennon,70.0
coldcut,39.0
joan as police woman,40.0
benjamin lazar davis,19.0
brand new,60.0
sun ra,42.0
dungen,35.0
oliver coates,37.0
jay daniel,27.0
r.e.m.,74.0
bruno mars,95.0
keita sano,11.0
tredici bacci,2.0
burial,51.0
yg,73.0
you blew it!,31.0
suzanne kraft,40.0
the weeknd,97.0
monster rally,48.0
steve reich,45.0
terry riley,34.0
justice,70.0
demdike stare,23.0
bully fae,0.0
rainbow arabia,17.0
kate bush,71.0
e-40,68.0
meredith monk,39.0
pavo pavo,12.0
via app,12.0
ice cube,75.0
dawn richard,41.0
oneida,16.0
rhys chatham,5.0
sarah davachi,31.0
vicky chow,18.0
future,92.0
gillian welch,53.0
jeff rosenstock,48.0
kristin hersh,32.0
metallica,83.0
porter ricks,16.0
mike watt,25.0
daniel bachman,25.0
autechre,44.0
body/head,5.0
his name is alive,29.0
radian,17.0
flasher,16.0
leonard cohen,65.0
tinashe,71.0
papa m,32.0
yaroze dream suite,0.0
thee oh sees,49.0
lorenzo senni,24.0
marching church,14.0
devonwho,19.0
a tribe called quest,68.0
sad13,16.0
j.g. biberkopf,1.0
animals as leaders,50.0
washington phillips,19.0
dedekind cut,16.0
michael mayer,35.0
mantra percussion,1.0
french montana,75.0
hart valley drifters,17.0
emeli sand,62.0
ken thomson,12.0
philip glass,60.0
bibi bourelly,49.0
loscil,40.0
peter stampfel,4.0
okkyung lee,12.0
christian marclay,6.0
minutemen,44.0
the men,50.0
oren ambarchi,26.0
jacuzzi boys,37.0
hudson mohawke,44.0
kool a.d.,27.0
rachel's,27.0
helmet,51.0
alicia keys,79.0
topaz jones,41.0
gaika,27.0
uniform,24.0
the chainsmokers,82.0
tyvek,10.0
tim buckley,47.0
mary halvorson,23.0
sleigh bells,48.0
jeezy,71.0
shirley collins,29.0
kadhja bonet,50.0
soft hair,34.0
jim james,46.0
a$ap mob,58.0
lou barlow,25.0
mannequin pussy,53.0
abba,81.0
fugees,67.0
merzbow,29.0
oddcouple,18.0
the dean ween group,25.0
common,62.0
ricky eat acid,37.0
rich the kid,67.0
carla dal forno,28.0
pussy riot,41.0
huerco s.,32.0
otis redding,69.0
the olympians,49.0
meek mill,75.0
miles davis quintet,52.0
kassem mosse,11.0
the dillinger escape plan,45.0
public image ltd,45.0
american wrestlers,6.0
tove lo,74.0
steve hauschildt,31.0
lambchop,39.0
roman flgel,36.0
dj rude one,16.0
syrinx,13.0
khemmis,34.0
joe budden,50.0
gord downie,31.0
roy montgomery,26.0
patrick cowley,44.0
candida royalle,1.0
d.r.a.m.,60.0
the radio dept.,53.0
luis,83.0
donny mccaslin,24.0
david crosby,43.0
jojo,64.0
n.m.o.,0.0
american football,55.0
sleaford mods,46.0
jubilee,18.0
crying,49.0
lady gaga,94.0
tanya tagaq,31.0
oval,27.0
jonathan finlayson & sicilian defense,0.0
male bonding,8.0
savoy motel,14.0
oozing wound,10.0
from indian lakes,41.0
ramones,66.0
jimmy eat world,68.0
meshuggah,55.0
axis: sova,6.0
moby & the void pacific choir,70.0
kag,51.0
gods wisdom,18.0
kings of leon,77.0
katie gately,9.0
jagwar ma,30.0
matt kivel,28.0
weyes blood,59.0
boogie,78.0
powell,27.0
wife,50.0
nxworries,56.0
regina spektor,62.0
darkthrone,45.0
mark ernestus' ndagga rhythm force,9.0
jamie lidell,41.0
terry allen,33.0
mono,46.0
wadada leo smith,21.0
warehouse,24.0
randy newman,61.0
the orb,44.0
lizzo,71.0
marie davidson,45.0
purling hiss,17.0
johnny jewel,38.0
the shaggs,22.0
pat thomas,40.0
dusky,47.0
big star,45.0
swet shop boys,21.0
youandewan,39.0
emma ruth rundle,41.0
conor oberst,48.0
joyce manor,53.0
banks,64.0
dva [hi:emotions],20.0
hiss golden messenger,48.0
norah jones,73.0
g perico,55.0
brookzill!,2.0
green day,82.0
goat,42.0
mv & ee,24.0
gatecreeper,38.0
candiria,24.0
janet jackson,67.0
oasis,79.0
helado negro,47.0
dj mustard,73.0
opeth,59.0
moses sumney,52.0
phish,55.0
phantogram,67.0
the caretaker,54.0
pixies,70.0
francis and the lights,55.0
neurosis,33.0
yves tumor,56.0
solange,62.0
balance and composure,47.0
supersilent,9.0
bruce haack,24.0
jenny hval,35.0
jack rose,24.0
lusa maita,83.0
oathbreaker,28.0
aaron abernathy,4.0
danny brown,62.0
innanet james,24.0
darcy james argue's secret society,11.0
masayoshi fujita,28.0
jan jelinek,32.0
guided by voices,47.0
bob weir,38.0
s u r v i v e,31.0
carl stone,15.0
bon iver,77.0
mike & rich,21.0
thomas brinkmann,13.0
psychic tv,34.0
nicolas jaar,52.0
warpaint,48.0
moor mother,34.0
blonde redhead,50.0
mick jenkins,57.0
ty dolla $ign,84.0
flock of dimes,36.0
lvl up,30.0
devendra banhart,55.0
machinedrum,48.0
chinx,42.0
itasca,13.0
how to dress well,28.0
fleetwood mac,83.0
merchandise,17.0
beach slang,25.0
alunageorge,62.0
erykah badu,69.0
against me!,52.0
the gaslamp killer,36.0
crooked man,19.0
eola,22.0
hamilton leithauser,47.0
rostam,47.0
local natives,56.0
biosphere,42.0
mykki blanco,39.0
bruce springsteen,77.0
die antwoord,60.0
dyke drama,11.0
a tribe called red,46.0
usher,82.0
pallbearer,35.0
kool keith,42.0
led zeppelin,78.0
grumbling fur,5.0
croatian amor,38.0
preoccupations,35.0
robert glasper experiment,58.0
mndsgn,42.0
sumerlands,23.0
mac miller,84.0
julius eastman,21.0
bryce dessner,47.0
aaron dessner,36.0
dj fresh,42.0
ezale,31.0
cymbals eat guitars,20.0
touch amor,47.0
silver apples,33.0
matthew shipp,24.0
bobby kapp,0.0
kaitlyn aurelia smith,40.0
suzanne ciani,34.0
fudge,29.0
wrekmeister harmonies,13.0
tim presley,18.0
nick cave & the bad seeds,64.0
manuel gttsching,31.0
cristian vogel,16.0
el perro del mar,29.0
m.i.a.,70.0
jhann jhannsson,63.0
jack white,59.0
steve buscemi,0.0
elliott sharp,11.0
alpha 606,2.0
adam torres,27.0
vox clamantis,29.0
caetano veloso,68.0
angelo badalamenti,52.0
okkervil river,37.0
banks & steelz,25.0
lisa/liza,2.0
wilco,61.0
daniel lanois,50.0
drugdealer,55.0
james vincent mcmorrow,57.0
travis scott,93.0
p.s. eliot,24.0
carly rae jepsen,72.0
inc. no world,6.0
isaiah rashad,70.0
eluvium,36.0
circle,43.0
bibio,52.0
zomby,13.0
teenage fanclub,43.0
clipping.,53.0
yohuna,5.0
de la soul,62.0
mekons,33.0
nots,62.0
d.a.r.k.,11.0
angel olsen,51.0
junior boys,34.0
serpentwithfeet,56.0
william basinski,42.0
young thug,85.0
prince,72.0
soundwalk collective,26.0
patti smith,58.0
jesse paris smith,18.0
funk factory,0.0
prophets of rage,41.0
the beach boys,72.0
jon hopkins,58.0
the dead c,8.0
vince staples,68.0
crystal castles,72.0
porches,42.0
nathan bowles,23.0
cass mccombs,42.0
zaytoven,52.0
subrosa,23.0
motion graphics,20.0
the roots,61.0
katy goodman,9.0
greta morgan,10.0
kornl kovcs,35.0
controlled bleeding,14.0
cassius,49.0
red pill,52.0
feral,22.0
carl broemel,30.0
frank ocean,88.0
battle trance,0.0
tory lanez,82.0
brendan canning,12.0
charlotte day wilson,58.0
tokyo black star,5.0
sharon jones and the dap-kings,59.0
tree,76.0
mild high club,59.0
marielle v. jakobsons,3.0
scott walker,41.0
scott hirsch,23.0
morgan delt,34.0
steve lehman,15.0
slbyone,15.0
stevie wonder,76.0
ka,92.0
atticus ross,41.0
leopold ross,38.0
bobby krlic,33.0
jefre cantu-ledesma,34.0
rattle,50.0
dj earl,17.0
sonic youth,58.0
the grifters,12.0
gonjasufi,29.0
atmosphere,56.0
fury,21.0
hockey dad,52.0
kyle dixon,53.0
michael stein,53.0
lexxi,35.0
alex cameron,40.0
partynextdoor,88.0
pill,42.0
mal devisa,18.0
lando chill,24.0
rae sremmurd,72.0
slow club,30.0
roosevelt,57.0
pj harvey,59.0
2 chainz,77.0
the chills,37.0
ryley walker,32.0
the 7th plain,12.0
toro y moi,61.0
factory floor,21.0
themind,41.0
of montreal,52.0
dj snake,78.0
elvis presley,78.0
m. geddes gengras,10.0
jon bap,61.0
katie dey,24.0
zhu,63.0
tobacco,41.0
kllo,41.0
wild beasts,36.0
noname,52.0
michal turtle,9.0
cluster ensemble,12.0
michael jackson,84.0
sunny day real estate,49.0
cam & china,22.0
nels cline,35.0
panopticon,30.0
dj khaled,75.0
trim,94.0
delia derbyshire,23.0
elsa stansfield,0.0
rival consoles,47.0
descendents,56.0
haley bonar,25.0
blowout,21.0
dinosaur jr.,51.0
delroy edwards,32.0
thunder tillman,3.0
cheena,75.0
nao,58.0
steve aoki,72.0
shy layers,7.0
owen,34.0
titus andronicus,30.0
hieroglyphic being,15.0
metronome,33.0
mary lattimore,43.0
jeff zeigler,19.0
red hot chili peppers,84.0
nina simone,69.0
no joy,31.0
psalm zero,1.0
elza soares,51.0
william s. burroughs,20.0
stwo,45.0
frankie reyes,31.0
lil durk,81.0
lori mckenna,44.0
tristan perich,9.0
lil yachty,79.0
russian circles,45.0
florian kupfer,8.0
hammers of misfortune,12.0
gap dream,26.0
shy glizzy,62.0
big business,32.0
snoop dogg,83.0
blu,59.0
nottz,27.0
michael kiwanuka,69.0
notekillers,1.0
21 savage,88.0
metro boomin,88.0
wymond miles,2.0
the amazing,52.0
jherek bischoff,20.0
floating points,51.0
z-ro,56.0
pauline oliveros,23.0
jamila woods,49.0
dreezy,51.0
max romeo,51.0
johnny foreigner,29.0
ian william craig,17.0
abra,94.0
towkio,43.0
wreck and reference,13.0
badbadnotgood,64.0
mstrkrft,34.0
pylon,36.0
wolfgang tillmans,18.0
clams casino,71.0
elysia crampton,13.0
camp cope,34.0
shackleton,25.0
konx-om-pax,23.0
the julie ruin,30.0
migos,76.0
mark barrott,34.0
shura,46.0
betty davis,38.0
kel valhaal,0.0
jackmaster,26.0
schoolboy q,76.0
darkstar,24.0
trust punks,1.0
tangents,7.0
arca,65.0
lindstrm,37.0
martha,47.0
john roberts,37.0
maxwell,59.0
kelsey lu,47.0
eric copeland,15.0
gone is gone,18.0
vivien goldman,16.0
risn murphy,30.0
araabmuzik,41.0
gggs,49.0
roy wood$,60.0
lauryn hill,74.0
metronomy,63.0
scharpling & wurster,4.0
marisa anderson,34.0
steven julien,23.0
the avalanches,56.0
nite-funk,11.0
nils frahm,61.0
woodkid,68.0
gojira,65.0
aphex twin,66.0
inter arma,21.0
the game,72.0
hot hot heat,40.0
blink-182,78.0
magic!,68.0
weaves,17.0
egisto macchi,4.0
bat for lashes,45.0
mick harvey,37.0
alice bag,12.0
stephen steinbrink,19.0
pulp,60.0
desiigner,61.0
nice as fuck,22.0
look mexico,17.0
sunpath,0.0
dj esco,48.0
james ferraro,27.0
puro instinct,9.0
david toop,14.0
blood orange,71.0
river tiber,51.0
lets eat grandma,37.0
lungfish,31.0
jim orourke,25.0
fennesz,37.0
deerhoof,39.0
told slant,27.0
amy klein,0.0
blut aus nord,30.0
vangelist,61.0
caveman,23.0
bjarki,32.0
suicide,85.0
the avett brothers,60.0
delorean,23.0
yumi zouma,53.0
jay arner,13.0
dj shadow,63.0
grace jones,54.0
john cage,37.0
allen toussaint,44.0
g.l.o.s.s.,26.0
laura mvula,40.0
odonis odonis,18.0
saqqara mastabas,0.0
disclosure,76.0
wye oak,47.0
sui zhen,20.0
the gotobeds,9.0
mitski,82.0
bishop nehru,41.0
brigid mae power,18.0
rlyr,1.0
swans,48.0
todd terje,46.0
the olsens,65.0
ro james,44.0
palmistry,37.0
will butler,32.0
vatican shadow,26.0
weval,48.0
george harrison,70.0
case/lang/veirs,0.0
yung,69.0
kodak black,81.0
nails,42.0
jake bugg,57.0
the fall,44.0
audion,41.0
van morrison,73.0
nick jonas,65.0
nite jewel,32.0
laraaji,41.0
sun araw,33.0
waxahatchee,57.0
dan lissvik,21.0
mozzy,62.0
diarrhea planet,23.0
band of horses,61.0
the temper trap,69.0
jackie lynn,11.0
nate wooley,9.0
air,64.0
plaid,37.0
holger czukay,27.0
sumac,26.0
cornelius,41.0
alexis taylor,28.0
ladyhawke,44.0
fear of men,22.0
garbage,60.0
speedy ortiz,34.0
floorplan,35.0
margaret glaspy,32.0
vic mensa,56.0
paul simon,70.0
peter bjorn and john,62.0
terry reid,36.0
tegan and sara,56.0
mourn,27.0
xenia rubinos,26.0
the strokes,77.0
the kills,50.0
lone,59.0
white zombie,57.0
whitney,77.0
big thief,70.0
melvins,48.0
moonface,19.0
siinai,9.0
payroll giovanni,48.0
slum village,55.0
steve gunn,39.0
the wailers,60.0
cough,26.0
joey purp,47.0
fifth harmony,70.0
dm-funk,47.0
seiho,26.0
william tyler,39.0
jank,34.0
mark kozelek,35.0
holy fuck,58.0
sepalcure,16.0
angry angles,12.0
kevin gates,73.0
beth orton,42.0
minor victories,15.0
angel du$t,40.0
daniel romano,34.0
kristin kontrol,9.0
pup,51.0
olga bell,8.0
rebolledo,25.0
robert glasper,58.0
miles davis,64.0
classixx,42.0
africans with mainframes,0.0
the hotelier,40.0
the underachievers,47.0
allen ginsberg,28.0
debo band,2.0
wolf parade,42.0
islands,32.0
adult jazz,21.0
ariana grande,92.0
gold panda,39.0
mock orange,21.0
david bowie,77.0
so so glos,16.0
pantha du prince,32.0
eagulls,22.0
christian naujoks,2.0
marissa nadler,34.0
richard ashcroft,49.0
adia victoria,32.0
carla bley,34.0
car seat headrest,62.0
head wound city,13.0
tim heidecker,32.0
mutual benefit,31.0
torn hawk,11.0
oscar,84.0
nothing,57.0
a giant dog,27.0
shit robot,24.0
summer cannibals,22.0
jameszoo,16.0
pinkshinyultrablast,36.0
modern baseball,65.0
kvelertak,42.0
arbor labor union,4.0
hooded fang,27.0
ryan adams,56.0
skepta,76.0
corinne bailey rae,65.0
thomas cohen,58.0
kaytranada,72.0
mark pritchard,45.0
twin peaks,44.0
bacao rhythm & steel band,43.0
death grips,58.0
jean-michel jarre,55.0
pita,39.0
seratones,28.0
radiohead,85.0
luh,65.0
gregory porter,59.0
mary chapin carpenter,50.0
james blake,69.0
little scream,27.0
homeboy sandman,37.0
fog,52.0
julianna barwick,45.0
meyhem lauren,45.0
chris cohen,33.0
jack dejohnette,44.0
ravi coltrane,25.0
matthew garrison,6.0
cluster,34.0
britta phillips,27.0
mo troper,15.0
white lung,25.0
vektor,31.0
big black delta,41.0
anohni,49.0
pity sex,32.0
hurry,97.0
aesop rock,55.0
egyptian lover,37.0
king gizzard & the lizard wizard,63.0
operators,18.0
katy b,58.0
holy ghost!,37.0
yoni & geti,17.0
lush,47.0
drake,97.0
anna wise,59.0
alarm will sound,20.0
the revolution,27.0
the new power generation,44.0
wire,47.0
dej loaf,68.0
dlek,64.0
horse lords,17.0
ensemble dal niente,3.0
susanna,51.0
audio push,31.0
beyonc,87.0
a$ap ferg,71.0
cullen omori,20.0
antwon,25.0
andy stott,37.0
etta james,70.0
ulver,42.0
kyle craft,22.0
rogue wave,44.0
john carpenter,48.0
bill evans,62.0
dj quik,54.0
problem,13.0
plants and animals,28.0
jay reatard,34.0
konono n1,22.0
batida,70.0
primitive weapons,2.0
sorority noise,49.0
arthur russell,46.0
cellars,5.0
lawrence,56.0
j dilla,57.0
carlos nio & friends,30.0
sturgill simpson,65.0
dave harrington group,10.0
toyomu,0.0
deakin,19.0
sam beam & jesca hoop,27.0
bleached,36.0
mr. lif,38.0
tunji ige,34.0
kevin morby,50.0
colin stetson,45.0
royce 59,56.0
cate le bon,44.0
tyler friedman,0.0
samuel rohrer,13.0
xiu xiu,45.0
eskimeaux,0.0
ben watt,28.0
niki and the dove,59.0
kweku collins,32.0
greys,49.0
youth code,27.0
deftones,81.0
into it. over it.,31.0
gallant,50.0
dinner,51.0
m83,72.0
dj rashad,33.0
frightened rabbit,48.0
k. michelle,49.0
bombino,38.0
parquet courts,47.0
mogwai,54.0
terrace martin,58.0
tacocat,31.0
"trd, grs och stenar",2.0
tim hecker,46.0
woods,41.0
twenty88,42.0
flying saucer attack,19.0
grimes,69.0
ash koosha,8.0
andrew bird,56.0
teen suicide,52.0
henry threadgill,12.0
ensemble double-up,0.0
dvsn,55.0
yeasayer,41.0
the last shadow puppets,59.0
autolux,33.0
bob mould,41.0
the field,33.0
leon vynehall,44.0
pet shop boys,68.0
tombs,11.0
com truise,57.0
frankie cosmos,55.0
eric bachmann,14.0
black milk & nat turner,41.0
nisennenmondai,8.0
glenn jones,44.0
azealia banks,64.0
charles bradley,60.0
black mountain,36.0
mike and the melvins,48.0
the monochrome set,27.0
weezer,74.0
laura gibson,36.0
elliphant,52.0
zayn,78.0
moderat,58.0
ramriddlz,39.0
japanese breakfast,61.0
brad fiedel,42.0
explosions in the sky,51.0
rjd2,47.0
domo genesis,57.0
anthony braxton,19.0
public memory,39.0
larry levan,27.0
cobalt,15.0
studio ost,2.0
babyfather,44.0
masami akita & eiko ishibashi,53.0
kamaiyah,51.0
the thermals,37.0
father,70.0
margo price,50.0
amnesia scanner,29.0
vijay iyer,31.0
charli xcx,85.0
baauer,54.0
boosie badazz,65.0
starchild & the new romantic,17.0
ilovemakonnen,57.0
the joy formidable,38.0
lucius,55.0
