reviewid,artist, popularity
22703,massive attack,69.0
22721,krallice,21.0
22659,uranium club,25.0
22661,kleenex,29.0
22661,liliput,29.0
22725,taso,37.0
22722,various artists,7.0
22704,little simz,70.0
22694,yotam avni,31.0
22714,brian eno,61.0
22724,the lox,52.0
22715,harry bertoia,1.0
22745,run the jewels,61.0
22700,steven warwick,1.0
22720,yasiin bey,49.0
22699,smoke dza,47.0
22699,pete rock,53.0
22665,various artists,7.0
22666,senyawa,25.0
22719,chance the rapper,75.0
22719,jeremih,75.0
22667,jamire williams,10.0
22691,the-dream,66.0
22702,worm ouroboros,3.0
22718,nine inch nails,68.0
22706,elder ones,2.0
22695,the microphones,48.0
22713,ben frost,31.0
22705,kacey musgraves,75.0
22532,jay som,43.0
22701,rashad becker,4.0
22707,ray charles,68.0
22708,ab-soul,61.0
22559,pantera,72.0
22692,gucci mane,77.0
22677,mica levi,34.0
22469,kid cudi,80.0
22711,sammus,23.0
22678,hodgy,51.0
22664,jeff parker,39.0
22685,a-trak,63.0
22690,jess williamson,39.0
22689,kevin abstract,53.0
22697,adr,75.0
22681,deadmau5,67.0
22698,jessy lanza,35.0
22684,peter broderick,44.0
22693,qasim naqvi,16.0
22686,post malone,89.0
22643,bob dylan,78.0
22640,ricardo villalobos,34.0
22640,umho,84.0
22688,peder mannerfelt,17.0
22696,j. cole,86.0
22663,pink floyd,81.0
22687,flume,71.0
22662,gaye su akyol,48.0
22317,jeff buckley,71.0
22673,various artists,7.0
22655,saba,60.0
22593,various artists,7.0
22627,simian mobile disco,40.0
22555,gas,53.0
22682,kodie shane,45.0
22679,the orchestra of syrian musicians,25.0
22657,blessed initiative,0.0
22654,neil young,69.0
22631,soundgarden,70.0
22683,nick hook,23.0
22635,kjartan sveinsson,31.0
22653,the rolling stones,79.0
22672,gucci mane,77.0
22672,lil uzi vert,85.0
22536,young male,0.0
22676,alex izenberg,19.0
22671,childish gambino,81.0
22675,fetty wap,77.0
22680,miranda lambert,69.0
22641,denitia and sene,19.0
22645,john legend,76.0
22393,yoko ono,54.0
22393,john lennon,70.0
22660,coldcut,39.0
22553,joan as police woman,40.0
22553,benjamin lazar davis,19.0
22626,brand new,60.0
22639,sun ra,42.0
22658,dungen,35.0
22638,mica levi,34.0
22638,oliver coates,37.0
22656,jay daniel,27.0
22669,r.e.m.,74.0
22634,bruno mars,95.0
22632,keita sano,11.0
22652,tredici bacci,2.0
22674,burial,51.0
22670,yg,73.0
22646,you blew it!,31.0
22535,suzanne kraft,40.0
22668,the weeknd,97.0
22650,various artists,7.0
22651,monster rally,48.0
22596,steve reich,45.0
22596,terry riley,34.0
22644,justice,70.0
22649,demdike stare,23.0
22583,bully fae,0.0
22595,rainbow arabia,17.0
22467,kate bush,71.0
22613,e-40,68.0
22620,meredith monk,39.0
22633,pavo pavo,12.0
22597,via app,12.0
22561,ice cube,75.0
22648,dawn richard,41.0
22531,oneida,16.0
22531,rhys chatham,5.0
22533,sarah davachi,31.0
22637,vicky chow,18.0
22647,gucci mane,77.0
22647,future,92.0
22614,gillian welch,53.0
22622,jeff rosenstock,48.0
22636,kristin hersh,32.0
22629,metallica,83.0
22534,porter ricks,16.0
22565,mike watt,25.0
22395,daniel bachman,25.0
22592,autechre,44.0
22598,body/head,5.0
22628,his name is alive,29.0
22624,radian,17.0
22619,flasher,16.0
22642,leonard cohen,65.0
22603,tinashe,71.0
22594,various artists,7.0
22630,papa m,32.0
22552,yaroze dream suite,0.0
22625,thee oh sees,49.0
22618,lorenzo senni,24.0
22602,marching church,14.0
22621,devonwho,19.0
22607,a tribe called quest,68.0
22611,sad13,16.0
22616,j.g. biberkopf,1.0
22617,animals as leaders,50.0
22401,washington phillips,19.0
22394,dedekind cut,16.0
22457,michael mayer,35.0
22501,mantra percussion,1.0
22612,french montana,75.0
22525,hart valley drifters,17.0
22610,emeli sand,62.0
22518,ken thomson,12.0
22527,philip glass,60.0
22623,bibi bourelly,49.0
22563,loscil,40.0
22505,peter stampfel,4.0
22465,okkyung lee,12.0
22465,christian marclay,6.0
22506,minutemen,44.0
22581,various artists,7.0
22519,the men,50.0
22608,oren ambarchi,26.0
22573,jacuzzi boys,37.0
22609,hudson mohawke,44.0
22605,kool a.d.,27.0
22606,rachel's,27.0
22502,helmet,51.0
22582,alicia keys,79.0
22604,topaz jones,41.0
22585,gaika,27.0
22560,uniform,24.0
22589,the chainsmokers,82.0
22584,tyvek,10.0
22392,tim buckley,47.0
22347,mary halvorson,23.0
22571,sleigh bells,48.0
22586,jeezy,71.0
22587,shirley collins,29.0
22550,kadhja bonet,50.0
22464,soft hair,34.0
22570,jim james,46.0
22599,a$ap mob,58.0
22558,lou barlow,25.0
22415,mannequin pussy,53.0
22600,abba,81.0
22566,fugees,67.0
22520,sun ra,42.0
22520,merzbow,29.0
22574,oddcouple,18.0
22452,the dean ween group,25.0
22588,common,62.0
22455,ricky eat acid,37.0
22480,rich the kid,67.0
22543,carla dal forno,28.0
22579,pussy riot,41.0
22576,huerco s.,32.0
22569,otis redding,69.0
22556,the olympians,49.0
22575,meek mill,75.0
22554,miles davis quintet,52.0
22528,kassem mosse,11.0
22540,the dillinger escape plan,45.0
22374,public image ltd,45.0
22562,american wrestlers,6.0
22578,tove lo,74.0
22414,steve hauschildt,31.0
