name, score
massive attack,69
krallice,21
uranium club,25
kleenex,29
liliput,29
taso,37
various artists,7
little simz,70
yotam avni,31
brian eno,61
the lox,52
harry bertoia,1
run the jewels,61
steven warwick,1
yasiin bey,49
smoke dza,47
pete rock,53
senyawa,25
chance the rapper,75
jeremih,75
jamire williams,10
the-dream,66
worm ouroboros,3
nine inch nails,68
elder ones,2
the microphones,48
ben frost,31
kacey musgraves,75
jay som,43
rashad becker,4
ray charles,68
ab-soul,61
pantera,72
gucci mane,77
mica levi,34
kid cudi,80
sammus,23
hodgy,51
jeff parker,39
a-trak,63
jess williamson,39
kevin abstract,53
adr,75
deadmau5,67
jessy lanza,35
peter broderick,44
qasim naqvi,16
post malone,89
bob dylan,78
ricardo villalobos,34
umho,84
peder mannerfelt,17
j. cole,86
pink floyd,81
flume,71
gaye su akyol,48
jeff buckley,71
saba,60
simian mobile disco,40
gas,53
kodie shane,45
the orchestra of syrian musicians,25
blessed initiative,0
neil young,69
soundgarden,70
nick hook,23
kjartan sveinsson,31
the rolling stones,79
lil uzi vert,85
young male,0
alex izenberg,19
childish gambino,81
fetty wap,77
miranda lambert,69
denitia and sene,19
john legend,76
yoko ono,54
john lennon,70
coldcut,39
joan as police woman,40
benjamin lazar davis,19
brand new,60
sun ra,42
dungen,35
oliver coates,37
jay daniel,27
r.e.m.,74
bruno mars,95
keita sano,11
tredici bacci,2
burial,51
yg,73
you blew it!,31
suzanne kraft,40
the weeknd,97
monster rally,48
steve reich,45
terry riley,34
justice,70
demdike stare,23
bully fae,0
rainbow arabia,17
kate bush,71
e-40,68
meredith monk,39
pavo pavo,12
via app,12
ice cube,75
dawn richard,41
oneida,16
rhys chatham,5
sarah davachi,31
vicky chow,18
future,92
gillian welch,53
jeff rosenstock,48
kristin hersh,32
metallica,83
porter ricks,16
mike watt,25
daniel bachman,25
autechre,44
body/head,5
his name is alive,29
radian,17
flasher,16
leonard cohen,65
tinashe,71
papa m,32
yaroze dream suite,0
thee oh sees,49
lorenzo senni,24
marching church,14
devonwho,19
a tribe called quest,68
sad13,16
j.g. biberkopf,1
animals as leaders,50
washington phillips,19
dedekind cut,16
michael mayer,35
mantra percussion,1
french montana,75
hart valley drifters,17
emeli sand,62
ken thomson,12
philip glass,60
bibi bourelly,49
loscil,40
peter stampfel,4
okkyung lee,12
christian marclay,6
minutemen,44
the men,50
oren ambarchi,26
